epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9208,1.39187,4.40941,1.52219,0.00207,0.36365,0.00621,0.00274,1.28374,4.21481,1.4781,5.001e-05,5.001e-05,5.001e-05
2,59.8653,1.27517,4.25313,1.39244,0.00369,0.64134,0.03165,0.02217,0.95148,3.90565,1.17975,0.000105138,0.000105138,0.000105138
3,89.0143,1.09716,3.78262,1.25441,0.00399,0.68613,0.1374,0.11071,0.90576,3.78434,1.12831,0.000147063,0.000147063,0.000147063
4,117.178,1.09507,3.19579,1.23995,1,0.02098,0.19128,0.13673,0.96329,3.6697,1.14333,0.000175785,0.000175785,0.000175785
5,145.343,1.10325,2.93656,1.19733,1,0.02268,0.22531,0.15705,0.96851,3.5967,1.13726,0.000191305,0.000191305,0.000191305
6,172.887,1.10379,2.96016,1.20664,1,0.02207,0.25942,0.17944,0.95621,3.54408,1.12302,0.000193622,0.000193622,0.000193622
7,201.071,1.09345,2.69866,1.18422,0.00411,0.66154,0.31194,0.22626,0.90515,3.52166,1.08403,0.000182737,0.000182737,0.000182737
8,228.633,1.00659,2.52056,1.15126,0.00413,0.70232,0.32672,0.24598,0.85334,3.48016,1.05123,0.000158648,0.000158648,0.000158648
9,257.364,0.95985,2.48683,1.12293,0.00454,0.79988,0.33851,0.2594,0.8306,3.43522,1.03334,0.000121358,0.000121358,0.000121358
10,284.353,0.96192,2.41287,1.10199,0.00465,0.82027,0.35386,0.28366,0.82836,3.37588,1.02713,7.08642e-05,7.08642e-05,7.08642e-05
